Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,730.7711,BMS_VCU_01,00000703,--,--,--,Standard,Data frm,08,0C 9D 17 73 00 39 14 6A ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Batt_Voltage,322.9V,--,,C9D,8,16,0.1,0,,
,BMS_Batt_Current,0.3000000000000682A,--,,1773,24,16,0.1,-600,,
,BMS_HVNegRelayLogic_Command,1,--,BMS_HVNegRelayLogic_Command,1,45,1,1,0,,
,BMS_SOC,0%,--,,0,46,10,0.1,0,,
,BMS_HVPreChargeRelay_status,0,Open,,0,48,2,1,0,,
,BMS_HVPosRelay_status,1,Close,,1,50,2,1,0,,
,BMS_HVNegRelay_status,1,Close,,1,52,2,1,0,,
,BMS_SOH,100%,--,,64,54,7,1,0,,
,BMS_HVPreRelayLogic_Command,0,--,,0,56,1,1,0,,
,BMS_HVPosRelayLogic_Command,1,--,BMS_HVPosRelayLogic_Command,1,57,1,1,0,,
,BMS_HeartbeatSignal,10,--,,A,58,4,1,0,,
,BMS_InitState,1,BMS Init is ok,,1,62,2,1,0,,
2,Receive,730.7713,BMS_VCU_11,00000713,--,--,--,Standard,Data frm,08,7E 10 00 01 2A 72 3C 21 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Battery_V2,322.72,--,,7E10,8,16,0.01,0,,
,BMS_BatteryV3,0.1V,--,,1,24,16,0.1,0,,
,LV_Power_Supply,10.866V,--,,2A72,40,16,0.001,0,,
,Reserve_Signal1_0x714,60,--,,3C,48,8,1,0,,
,Reserve_Signal2_0x714,1,--,,1,56,4,1,0,,
,Mandatory_Slow_Full_Charging,0,--,,0,60,1,1,0,,
,BMS_KeyOn,1,online,,1,61,1,1,0,,
,Reserve_Signal5_0x714,0,--,,0,62,1,1,0,,
,Reserve_Signal6_0x714,0,--,,0,63,1,1,0,,
3,Receive,730.7511,BMS_VCU_02,00000704,--,--,--,Standard,Data frm,08,0B 40 0C 80 03 84 32 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_TotalEnergy,28.8KWh,--,,B40,8,16,0.01,0,,
,BMS_NominalVolt,320V,--,,C80,24,16,0.1,0,,
,BMS_NominalCapacity,90Ah,--,,384,40,16,0.1,0,,
,BMS_CumDischrgPower_UV,0kWh,--,,0,56,7,0.01,0,,
,BMS_TotalCellNumber,100,--,,64,63,9,1,0,,
4,Receive,730.7514,BMS_VCU_03,00000705,--,--,--,Standard,Data frm,08,08 2B 06 00 05 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_HardwareVision,8,--,,8,0,8,1,0,,
,BMS_SoftwareVision,43,--,,2B,8,8,1,0,,
,BMS_BranchNumber,6,--,,6,16,8,1,0,,
,BMS_SoftwareMinorVision,5,--,,5,32,6,1,0,,
,Cell_SOC_Min,0%,--,,0,38,10,0.1,0,,
,Cell_SOC_Max,0%,--,,0,54,10,0.1,0,,
,AerosolConcentration,0ug,--,,0,56,14,1,0,,
5,Receive,730.7516,BMS_VCU_04,00000706,--,--,--,Standard,Data frm,08,02 64 00 00 5F 14 00 6F ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_MaxAllowContinusChrgCurr,61.2A,--,,264,8,16,0.1,0,,
,BMS_MaxAllowContinusDisChrgCurr,0A,--,,0,24,16,0.1,0,,
,BMS_MaxAllowedWorkTemp,55,--,,5F,32,8,1,-40,,
,BMS_MinAllowedWorkTemp,-20,--,,14,40,8,1,-40,,
,BMS_CellVol_Difference,0.006V,--,,6,60,12,0.001,0,,
6,Receive,730.7519,BMS_VCU_05,00000707,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 80 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_TotalBattVoltOverAlarm,0,No Fault,,0,0,2,1,0,,
,BMS_CellVoltDiffOverAlarm,0,No Fault,,0,2,2,1,0,,
,BMS_MinCellVoltUnderAlarm,0,No Fault,,0,4,2,1,0,,
,BMS_MaxCellVoltOverAlarm,0,No Fault,,0,6,2,1,0,,
,BMS_CellTempDiffOverAlarm,0,No fault,,0,8,2,1,0,,
,BMS_BattUnderTempAlarm,0,No Fault,,0,10,2,1,0,,
,BMS_BattHighTempAlarm,0,No Fault,,0,12,2,1,0,,
,BMS_TotalBattVoltUnderAlarm,0,No Fault,,0,14,2,1,0,,
,BMS_FeedBackOverCurrAlarm,0,No Fault,,0,16,2,1,0,,
,BMS_SOC_JumpAlarm,0,No Fault,,0,18,2,1,0,,
,BMS_Low_SOCAlarm,0,No Fault,,0,20,2,1,0,,
,BMS_SOHLowAlarm,0,No Fault,,0,22,2,1,0,,
,BMS_DaisyChainFault,0,No Fault,,0,24,2,1,0,,
,BMS_HVP_weld_detection,0,No Fault,,0,26,1,1,0,,
,BMS_HVNeg_weld_detection,0,No Fault,,0,27,1,1,0,,
,BMS_Insulation_Fault,0,No Fault,,0,28,2,1,0,,
,BMS_DischrgOverCurrAlarm,0,No Fault,,0,30,2,1,0,,
,Reserve_Signal2_0x707,0,No Fault,,0,32,2,1,0,,
,Over_current_charging,0,No Fault,,0,34,2,1,0,,
,BMS_PrechargeFaultAlarm,0,No Fault,,0,36,1,1,0,,
,BMS_Supply_Voltage_Alarm,0,No Fault,,0,39,1,1,0,,
,BMS_VCU_CANCommAlarm,0,No Fault,,0,40,1,1,0,,
,BMS_PrechargeHWFault,0,No Fault,,0,41,1,1,0,,
,BMS_NegMainRlyHWFault,0,No Fault,,0,42,1,1,0,,
,BMS_PosMainRlyHWFault,0,No Fault,,0,43,1,1,0,,
,BMS_CellVolSampllingFault,0,No Fault,,0,44,2,1,0,,
,BMS_TemperatureSamplingFault,0,No Fault,,0,46,2,1,0,,
,BMS_CurrentSensorFault,0,No Fault,,0,48,2,1,0,,
,BMS_CurrentSensorOfflineFault,0,No Fault,,0,50,2,1,0,,
,BMS_PackVolt_SampFlt,0,No Fault,,0,52,1,1,0,,
,BMS_Cell_SOCDifferenceAlarm,0,No Fault,,0,53,1,1,0,,
,Reserve_Signal4_0x707,0,--,,0,54,2,1,0,,
,Reserve_Signal5_0x707,0,--,,0,56,2,1,0,,
,Over_PCB_Temperature_fault,0,No Fault,,0,58,2,1,0,,
,BMS_Hardware_fault,0,No Fault,,0,60,1,1,0,,
,BMS_IntE2P_readwrite_fail,0,No Fault,,0,61,1,1,0,,
,BMS_ExtE2P_readwrite_fail,0,No Fault,,0,62,1,1,0,,
7,Receive,730.7521,BMS_VCU_06,00000708,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 3F ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_AllowedMaxContinusOutPower,0kW,--,,0,12,12,0.1,0,,
,BMS_AllowedMaxPeakOutPower,0kW,--,,0,16,12,0.1,0,,
,BMS_AllowedMaxPeakFBPower,0kW,--,,0,36,12,0.1,0,,
,BMS_AllowedMaxContinusFBPower,0kW,--,,0,40,12,0.1,0,,
,BMS_Cum_Inc_ChrgSOC,0%,--,,0,62,10,1,0,,
8,Receive,730.7524,BMS_VCU_07,00000709,--,--,--,Standard,Data frm,08,11 51 04 51 05 80 00 11 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Min_Temp_Subsystem_No,1,--,,1,0,4,1,0,,
,BMS_Max_Temp_Subsystem_No,1,--,,1,4,4,1,0,,
,BMS_MaxCell_Temp,31,--,,51,8,8,1,-50,,
,BMS_Max_Temp_No,4,--,,4,16,8,1,0,,
,BMS_MinCell_Temp,31,--,,51,24,8,1,-50,,
,BMS_Min_Temp_No,5,--,,5,32,8,1,0,,
,BMS_SOC_Calibration_Flag,0,--,,0,40,1,1,0,,
,BMS_Fault_Level,0,No Fault,,0,41,3,1,0,,
,BMS_OperMod,8,--,,8,44,4,1,0,,
,BMS_DerateFlag,0,Disable,,0,48,1,1,0,,
,BMS_CellBal_Status,0,--,,0,49,1,1,0,,
