Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,120.3333,BMS_VCU_01,00000703,--,--,--,Standard,Data frm,08,0D F3 17 6F 7D 6F 23 E8 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Batt_Voltage,357.1V,--,,DF3,8,16,0.1,0,,
,BMS_Batt_Current,-0.1000000000000227A,--,,176F,24,16,0.1,-600,,
,BMS_InitState,1,BMS Init is ok,,1,41,1,1,0,,
,BMS_KeyOn,1,online,,1,42,1,1,0,,
,BMS_HVPosRelay_status,1,Close,,1,43,1,1,0,,
,BMS_HVPreChargeRelay_status,0,Open,,0,44,1,1,0,,
,BMS_HVNegRelay_status,1,Close,,1,45,1,1,0,,
,BMS_SOC,50.1%,--,,1F5,46,10,0.1,0,,
,BMS_HVPosRelayLogic_Cmd,1,Close,,1,48,1,1,0,,
,BMS_HVNegRelayLogic_Cmd,1,Close,,1,49,1,1,0,,
,BMS_HVPreChargeRelayLogic_Cmd,0,Open,,0,50,1,1,0,,
,BMS_FC_PosRelay_status,0,--,,0,51,1,1,0,,
,BMS_FC_NegRelay_status,0,--,,0,52,1,1,0,,
,BMS_HeartbeatSignal,9,--,,9,53,4,1,0,,
,CRC_703,232,--,,E8,56,8,1,0,,
2,Receive,120.2628,BMS_VCU_07,00000709,--,--,--,Standard,Data frm,08,09 58 07 51 01 30 00 A2 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Rolling_Counter_709,9,--,,9,0,4,1,0,,
,BMS_V2X_flag,0,Disable,,0,4,2,1,0,,
,BMS_MaxCell_Temp,38¡æ,--,,58,8,8,1,-50,,
,BMS_Max_Temp_No,7,--,,7,16,8,1,0,,
,BMS_MinCell_Temp,31¡æ,--,,51,24,8,1,-50,,
,BMS_Min_Temp_No,1,--,,1,32,8,1,0,,
,BMS_SOC_CalibrationFlag,0,Disable,,0,40,1,1,0,,
,BMS_Fault_Level,0,No Fault,,0,41,3,1,0,,
,BMS_OperMod,3,HVActive,,3,44,4,1,0,,
,BMS_DerateFlag,0,Disable,,0,48,1,1,0,,
,BMS_CellBal_Status,0,Disable,,0,49,1,1,0,,
,E2P_Data_Transfer_Status,0,No Data Transfer in Process,,0,50,2,1,0,,
,BMS_SOCCalActFlag,0,Not calibration,,0,52,4,1,0,,
,CRC_709,162,--,,A2,56,8,1,0,,
3,Receive,120.2630,BMS_VCU_03_01,000003EB,--,--,--,Standard,Data frm,08,7D 40 00 09 C4 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,RealSOC,50.1%,--,,1F5,14,10,0.1,0,,
,Crash_Duty_Cycle,0%,--,,0,20,10,0.1,0,,
,BMS_SOC_Diff_Value,0%,--,,0,28,8,1,0,,
,RealSOH,100%,--,,2710,46,14,0.01,0,,
,cumulative_V2X_discharge_energy,0kWh,--,,0,56,16,0.1,0,,
4,Receive,120.2632,BMS_VCU_10_1,000003F1,--,--,--,Standard,Data frm,08,00 49 49 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Temperature_9,33¡æ,--,,49,8,8,1,-40,,
,BMS_Temperature_10,33¡æ,--,,49,16,8,1,-40,,
,ReserveSignal_3F1,0,--,,0,24,8,1,0,,
5,Receive,120.2634,BMS_VCU_05_1,000003F3,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_shortcircuitcurrentAlarm,0,No Fault,,0,0,2,1,0,,
,BMS_PcbTempSensorAlarm,0,No fault,,0,2,2,1,0,,
,BMS_ImproperShutdownAlarm,0,No fault,,0,4,2,1,0,,
,BMS_TempRiseAlarm,0,No Fault,,0,6,2,1,0,,
,BMS_contactoragingAlarm,0,No fault,,0,8,2,1,0,,
,BMS_BalancingFailAlarm,0,No fault,,0,10,2,1,0,,
,BMS_VoltagesensingV2fault,0,No fault,,0,12,2,1,0,,
